postcode, local_authority_code
W1W8RL,E09000033
WC2N4JS,E09000033
CR09DX,E09000008
CR07ER,E09000008
CR28DE,E09000008
CR00BF,E09000008
CR04JZ,E09000008
CR03PG,E09000008
CR00JB,E09000008
CR26EQ,E09000008
CR01LH,E09000008
CR82AA,E09000008
CR07AF,E09000008
BR11QW,E09000006
CR02HB,E09000008
CR03HL,E09000008
CR00JD,E09000008
CR20PG,E09000008
CR26AH,E09000008
CR06BE,E09000008
CR26PW,E09000008
CR28LH,E09000008
BR53QB,E09000006
BR49LS,E09000006
CR52ND,E09000008
CR01PA,E09000008
CR02PP,E09000008
CR03PA,E09000008
CR85AH,E09000008
CR02TB,E09000008
SE233HT,E09000023
SM60DE,E09000029
SM12QN,E09000029
CR84DG,E09000008
CR01TY,E09000008
SW129AP,E09000032
SW25QN,E09000022
CR00RQ,E09000008
SW99RT,E09000022
KT199SL,E07000208
CR01PD,E09000008
CR01PE,E09000008
CR01RJ,E09000008
CR26HE,E09000008
SW47AA,E09000022
CR01RG,E09000008
CR26AG,E09000008
KT33RX,E09000021
EC3V9LJ,E09000001
SW96BP,E09000022
CR06RE,E09000008
CR06RA,E09000008
CR29NR,E09000008
CR07AE,E09000008
CR01LB,E09000008
CR06RG,E09000008
CR01ND,E09000008
CR07AA,E09000008
CR06PQ,E09000008
CR05BD,E09000008
CR02TA,E09000008
CR02TJ,E09000008
DA53HG,E09000004
DA146ND,E09000004
DA53HP,E09000004
DA67JN,E09000004
DA67BD,E09000004
DA76BS,E09000004
DA14LU,E09000004
RM66ED,E09000002
TW80JQ,E09000018
DA75HD,E09000004
EC3R8DU,E09000001
EC2N1DP,E09000001
RM26PS,E09000016
RM126PH,E09000016
N43QW,E09000019
EC2M7EA,E09000001
SE91XX,E09000011
E177LD,E09000031
RM13AB,E09000016
RM26DP,E09000016
DA145LT,E09000004
NW11QE,E09000007
N193QF,E09000019
DA124BW,E07000109
KT48HY,E09000029
IG61QF,E09000026
IG26JZ,E09000026
IG50JN,E09000026
IG75LS,E07000072
IG62DF,E09000026
IG75NU,E07000072
IG62DJ,E09000026
IG27JD,E09000026
IG27QH,E09000026
IG63BS,E09000026
IG61QE,E09000026
E181AN,E09000026
IG13RD,E09000026
RM66PU,E09000002
IG38RQ,E09000026
IG11DE,E09000026
IG50LQ,E09000026
RM52DU,E09000016
IG14TD,E09000026
RM70RP,E09000016
IG26LE,E09000026
IG104BL,E07000072
IG38TN,E09000026
RM14PH,E09000016
IG62AD,E09000026
IG26PE,E09000026
IG62DR,E09000026
IG76PF,E07000072
IG103NY,E07000072
IG14SY,E09000026
RM82UL,E09000002
IG26RE,E09000026
IG11XG,E09000026
IG39TQ,E09000026
IG103TZ,E07000072
IG39UD,E09000026
IG63HW,E09000026
IG26XG,E09000026
IG62AZ,E09000026
IG26BL,E09000026
IG61NX,E09000026
E105QN,E09000031
IG27JH,E09000026
IG38RA,E09000026
IG63AX,E09000026
IG75RA,E07000072
RM66QJ,E09000002
IG75QA,E07000072
E174QS,E09000031
IG39SQ,E09000026
E17DB,E09000001
E11LN,E09000030
E17AW,E09000001
E17QR,E09000030
N169LD,E09000012
E16BD,E09000030
SW1P2AA,E09000033
E28GX,E09000012
E17TD,E09000030
E11EG,E09000030
SE50DL,E09000028
E17PL,E09000030
EC4M9AH,E09000001
EC3N1BJ,E09000001
SE13UA,E09000028
SE166RL,E09000028
EC3A7DB,E09000001
E145QS,
E26DG,E09000030
SE14QW,E09000028
E26AH,E09000030
SE151LE,E09000028
EC3A8AA,E09000001
EC2M7QN,E09000001
SE14PN,E09000028
WC2H7JA,E09000033
SW47UL,E09000022
N193NU,E09000019
W26LY,E09000033
SW1V4PB,E09000033
W1H1BR,E09000033
W1S1HU,E09000033
W1B5AH,E09000033
N18EG,E09000019
HA98HG,E09000005
HA04TQ,E09000005
HA98TF,E09000005
HA90TG,E09000005
HA04GH,E09000005
HA04AA,E09000005
HA97HQ,E09000005
HA97LU,E09000005
HA11TY,E09000015
HA46SR,E09000017
HA99TX,E09000005
HA99JS,E09000005
HA30AN,E09000005
UB70JW,E09000017
HA97NA,E09000005
NW116XX,E09000003
N128NP,E09000003
N33EY,E09000003
SE207HW,E09000006
SE208QJ,E09000006
SE208FJ,E09000006
SE192ET,E09000008
BR31NR,E09000006
SE207TN,E09000006
SE208DL,E09000006
SE254BS,E09000008
SE255QF,E09000008
SE192AS,E09000006
SW179ER,E09000024
SW90UD,E09000022
SW191EX,E09000024
N19EZ,E09000019
N19EX,E09000019
N17FX,E09000019
N11RL,E09000019
N18JG,E09000019
N18EQ,E09000019
EC1R1UX,E09000019
N19EY,E09000019
N78JX,E09000019
N19EN,E09000019
N10PN,E09000019
N10HB,E09000019
N12SF,E09000019
N10PS,E09000019
N10PD,E09000019
N78AB,E09000019
N19EW,E09000019
N10HG,E09000019
N11RG,E09000019
N12UQ,E09000019
WC1A2JL,E09000007
N42DQ,E09000019
N19HA,E09000019
W1G9QQ,E09000033
W1F0HQ,E09000033
W1G6PF,E09000033
EC1R1UY,E09000019
TN163NA,E09000006
TN163BA,E09000006
TN163EW,E09000006
TN161BB,E07000111
TN163NF,E09000006
BR28NL,E09000006
TN161AH,E07000111
TN131HR,
RH80SP,E07000215
BR27DH,E09000006
BR67AZ,E09000006
BR40PX,E09000006
BR12DX,E09000006
BR60LF,E09000006
BR27EJ,E09000006
TN163UH,E09000006
TN162HN,E09000006
CR85AT,E07000215
TN161JJ,E07000111
CR36JR,E07000215
CR36QX,E07000215
BR54DS,E09000006
CR04BE,E09000008
CR69JH,E07000215
TN163GB,E09000006
CR03RE,E09000008
BR27AY,E09000006
CR30EF,E07000215
BR12RL,E09000006
SE254QQ,E09000008
TN161DP,E07000111
BR67DZ,E09000006
TN147BS,E07000111
BR29LD,E09000006
CR00QH,E09000008
RH89EU,E07000215
BR66AF,E09000006
TN132AB,E07000111
BR68HY,E09000006
CR36FB,E07000215
N193JF,E09000019
N65BB,E09000014
N193QL,E09000019
N195RD,E09000019
N87LA,E09000014
N228JA,E09000014
N147ES,E09000010
N154JB,E09000014
N193NB,E09000019
RM112SD,E09000016
RM112JS,E09000016
RM126RJ,E09000016
RM126DT,E09000016
RM126QP,E09000016
RM112JZ,E09000016
RM25TA,E09000016
RM112SH,E09000016
RM126JU,E09000016
RM111TX,E09000016
RM113AT,E09000016
RM113YD,E09000016
RM126LL,E09000016
RM111QX,E09000016
RM53RP,E09000016
RM25TD,E09000016
CM159AU,E07000068
RM112LG,E09000016
RM124UH,E09000016
RM175NH,E06000034
RM111QH,E09000016
SS170HA,E06000034
CM120XA,E07000066
CM129TR,E07000066
RM124SA,E09000016
RM112LL,E09000016
RM112PS,E09000016
CM111AE,E07000066
SS141AG,E07000066
CM26LW,E07000070
CM164HA,E07000072
N155BT,E09000014
RM125AS,E09000016
SS67HL,E07000075
N135XG,E09000010
EN52UH,E09000003
EN55JZ,E09000003
WD61AH,E07000098
EN63PZ,E07000098
HA89AF,E09000003
EN54PD,E09000003
EN51HQ,E09000003
WD65PU,E07000098
HA87TE,E09000015
N129AY,E09000003
HA80PB,E09000003
HA89TD,E09000003
EN55BX,E09000003
EN63PW,E07000098
N129JG,E09000003
EN61QA,E07000098
N31EG,E09000003
EN52RD,E09000003
HA88JS,E09000003
EN51AD,E09000003
EN52HR,E09000003
WD64SX,E07000098
HA73HQ,E09000015
EN55QN,E09000003
N144JU,E09000010
N147AG,E09000010
N144UT,E09000010
EN55SZ,E09000003
N128NY,E09000003
EN48HG,E09000003
EN54HZ,E09000003
EN55TD,E09000003
EN48SY,E09000003
N32SE,E09000003
EN55RU,E09000003
WD61EB,E07000098
EN62QU,E07000098
N208QG,E09000003
NW73EJ,E09000003
WD231PQ,E07000098
NW73JL,E09000003
N209QJ,E09000003
EN40DL,E09000010
EN48RQ,E09000003
NW96GA,E09000003
NW74RN,E09000003
EN28RX,E09000010
N32PA,E09000003
N200BB,E09000003
WD61DX,E07000098
EN48QZ,E09000003
NW95BF,E09000003
N111JJ,E09000003
N111AA,E09000010
SW120HR,E09000022
SW129EX,E09000032
SW129PX,E09000032
SW129RG,E09000032
SW24TS,E09000022
SW177SD,E09000032
SW129AW,E09000032
SW129HJ,E09000032
SW129AL,E09000032
SW115SD,E09000032
SW115QN,E09000032
SW129DR,E09000032
SW170ES,E09000032
SW23BJ,E09000022
SW115RL,E09000032
SW197JY,E09000024
SE11HR,E09000028
SE13SS,E09000028
W1K5BW,E09000033
SE12TU,E09000028
SW74SS,E09000020
SE19JZ,E09000028
N17BJ,E09000019
SE19BZ,E09000028
DE11FT,E06000015
M23HZ,E08000003
EC1Y8QP,E09000019
BS82DE,E06000023
DN157LD,E06000013
UB108PB,E09000017
W105SY,E09000020
SW1W9NF,E09000033
IG118DQ,
IG118UN,E09000002
IG117UQ,E09000002
IG110TH,E09000002
IG118TB,E09000002
IG118SF,E09000002
IG118TQ,E09000002
IG118AJ,E09000002
IG118RY,E09000002
RM108RE,E09000002
IG118DH,E09000002
IG118ER,E09000002
E138PS,E09000025
E63BB,E09000025
IG117LX,
E63BP,E09000025
IG118UW,E09000002
E113JB,E09000031
E61LA,E09000025
E126PQ,E09000025
IG62DU,E09000026
IG12RU,E09000026
IG14PG,E09000026
IG45BQ,E09000026
IG11JR,E09000026
IG62AH,E09000026
RM142AD,E09000016
IG13AD,E09000026
E164LF,E09000025
DA83EX,E09000004
DA76HD,E09000004
DA83HF,E09000004
DA76NA,E09000004
DA76EB,E09000004
DA67DZ,E09000004
DA75AQ,E09000004
DA74QT,E09000004
DA26DJ,E07000107
DA67EZ,E09000004
DA76HG,E09000004
DA75AE,E09000004
DA157JQ,E09000004
DA76HQ,E09000004
N87NJ,E09000014
DA27ER,E07000107
SW139QA,E09000027
W69HN,E09000013
SW139LP,E09000027
SW148SH,E09000027
W140SJ,E09000013
SW63PA,E09000013
W69PL,E09000013
SW156SG,E09000032
SW67BW,E09000013
SW152DU,E09000032
W60LJ,E09000013
W68NX,E09000013
SW148DX,E09000027
SW156SP,E09000032
W69JT,E09000013
SW61NJ,E09000013
W68QT,E09000013
SW74PP,E09000020
SW139DH,E09000027
SW138HH,E09000027
W127GF,E09000013
SW63BN,E09000013
W87DU,E09000020
SW65SH,E09000013
SW139LD,E09000027
SW130DQ,E09000027
TW106EX,E09000027
SW33QU,E09000020
SW198EJ,E09000024
SW151SF,E09000032
SW151HJ,E09000032
DA15UW,E07000107
DA11TE,E07000107
DA13HJ,E07000107
DA13NZ,E09000004
DA12HY,E07000107
DA11ED,E07000107
DA12DX,E07000107
DA11DN,E07000107
DA14ER,E09000004
DA12QF,E07000107
DA12JE,E07000107
DA14NH,E09000004
DA12DT,E07000107
DA11PB,E07000107
DA99ST,E07000107
RM154JR,E06000034
DA11RY,E07000107
DA15AX,E07000107
DA15GF,E07000107
DA13BT,E07000107
DA12QW,E07000107
DA11BG,E07000107
DA83EZ,E09000004
DA11BE,E07000107
DA11EX,E07000107
DA12EH,E07000107
DA11LU,E07000107
DA14HA,E09000004
DA12DR,E07000107
DA67PR,E09000004
DA27JR,E07000107
DA11ET,E07000107
DA15LF,E07000107
N32HS,
AL21NB,E07000240
WD233DQ,E07000098
EN48TD,E09000003
EN48SS,E09000003
EN48RN,E09000003
EN48TY,E09000003
EN26PQ,E09000010
EN49DD,E09000003
EN55XY,E09000003
EN13JY,E09000010
EN20PL,E09000010
N144BE,E09000010
EN28HJ,E09000010
N19DP,E09000019
NW10LT,E09000007
N10SL,E09000019
N11BA,E09000019
EC1V1LR,E09000019
N1C4QP,E09000007
NW32JN,E09000007
WC1X8AJ,E09000007
SW111JA,E09000032
SW113TA,E09000032
SW112PF,E09000032
SW115QJ,E09000032
SW114ND,E09000032
SW111XJ,E09000032
SW84NY,E09000022
SW111TG,E09000032
SW114LY,E09000032
SW35ES,E09000020
SW111SY,E09000032
SW116LY,E09000032
W23PE,E09000033
W23EL,E09000033
W23RL,E09000033
W84DB,E09000020
W26QT,E09000033
W25RT,E09000033
W112AA,E09000020
W24AB,E09000033
W23RX,E09000033
W24QJ,E09000033
W24SJ,E09000033
SW59QQ,E09000020
BR35DZ,E09000006
BR31EN,E09000006
BR31AH,E09000006
BR33NA,E09000006
BR31DY,E09000006
BR34BG,E09000006
BR31AG,E09000006
BR36SU,E09000006
BR31HL,E09000006
BR35NP,E09000006
BR31AZ,E09000006
BR33PS,E09000006
BR33RA,E09000006
BR33HG,E09000006
BR34SH,E09000006
BR34PR,E09000006
BR31AW,E09000006
BR20TZ,E09000006
SE207PF,E09000006
BR15LD,E09000023
BR35DG,E09000006
BR34LS,E09000006
SE255AH,E09000008
BR11DD,E09000006
BR33DE,E09000006
BR40LT,E09000006
SE233UT,E09000023
BR31ED,E09000006
BR29BE,E09000006
SE120DS,E09000023
SE233LX,E09000023
BR49HU,E09000006
BR11RW,E09000006
BR11NZ,E09000006
E65YA,E09000025
E201EJ,E09000025
E143GA,E09000030
E153ET,E09000025
E66LA,E09000025
E145HX,E09000030
RM83UL,E09000002
RM82DA,E09000002
RM83XU,E09000002
RM108EL,E09000002
RM83HD,E09000002
RM94TP,E09000002
RM82JB,E09000002
RM82UJ,E09000002
RM81BL,E09000002
RM66AP,E09000002
RM81BB,E09000002
RM66NX,E09000002
RM107FH,E09000002
RM64AB,E09000026
E78LT,E09000025
CR04QR,E09000029
SM60DX,E09000029
SM68RG,E09000029
SM60LH,E09000029
SM60AT,E09000029
SM69BT,E09000029
SM60JY,E09000029
CR52NF,E09000008
CR04PJ,E09000029
CR82AU,E09000008
KT13DS,E09000021
KT65NF,E09000021
TW26BT,E09000027
W52LN,E09000009
SW1X9AL,E09000020
SW1V1RP,E09000033
SW31NQ,E09000020
SW1W8QX,E09000033
SW1V2PW,E09000033
SW1X7RJ,E09000020
SW1V1QB,E09000033
W18NR,
W1F8SH,E09000033
SW33AE,E09000020
SE63BT,E09000023
SE61AT,E09000023
SE64JU,E09000023
SE135PD,E09000023
SE62EJ,E09000023
HA38RF,E09000015
HA35AH,E09000015
HA27HE,E09000015
HA20FD,E09000015
HA11HS,E09000015
HA13UX,E09000015
HA86AP,E09000015
HA37HH,E09000015
HA37DF,E09000015
HA20AH,E09000015
HA37QE,E09000015
HA49QZ,E09000017
WD231BB,E07000098
HA36JL,E09000015
SM26DF,E09000029
SM25BF,E09000029
SM13RF,E09000029
SM38EB,E09000029
SM26LX,E09000029
SM52AL,E09000029
KT172PR,E07000208
SM26BS,E09000029
SM38SD,E09000029
SM13EW,E09000029
SM11HY,E09000029
SM11DF,E09000029
SM11NT,E09000029
SM38JW,E09000029
SM12EH,E09000029
SM38NZ,E09000029
KT173LF,E07000211
KT172AD,E07000208
SM44RT,E09000024
KT47EL,E09000021
SM39BJ,E09000029
SM45BT,E09000024
SM39PL,E09000029
SM26RF,E09000029
SM44EX,E09000024
SM11AY,E09000029
KT185SG,E07000211
SM53AG,E09000029
CR53HS,E09000008
KT190NU,E07000208
KT34BY,E09000021
SM54NZ,E09000029
SM53NW,E09000029
SM46RB,E09000024
SM12EZ,E09000029
SM53NL,E09000029
SM13JR,E09000029
CR53FR,E09000008
KT64JL,E09000021
KT198BA,E07000208
SM39HJ,E09000029
SM72NT,E07000211
SW192LE,E09000024
KT13LE,E09000021
SM13RQ,E09000029
SM71RN,E07000211
NW54HT,E09000007
NW54HY,E09000007
NW35BJ,E09000007
NW35EN,E09000007
NW34TG,E09000007
NW34NS,E09000007
NW36UG,E09000007
NW17AH,E09000007
NW37XG,E09000007
DA175LJ,E09000004
DA175JN,E09000004
DA175JF,E09000004
DA81JY,E09000004
DA175JE,E09000004
DA74JL,E09000004
RM166RY,E06000034
DA176DF,E09000004
RM139YS,E09000016
DA163QS,E09000004
SE84HH,E09000011
SE14PT,E09000028
SE14TP,E09000028
SE12DF,E09000028
SE164SH,E09000028
SE163TS,E09000028
SE145RW,E09000023
SE162LS,E09000028
SE12HG,E09000028
SE12BS,E09000028
SE85FA,E09000023
SE164RT,E09000028
SE167FA,E09000023
SE163RW,E09000028
KT58EJ,E09000021
KT64JG,E09000021
KT67AA,E09000021
KT67QG,E09000021
KT91BD,E09000021
KT65PL,E09000021
KT13EG,E09000021
KT66AL,E09000021
KT67AB,E09000021
KT12RP,E09000021
KT11JP,E09000021
KT66SP,E09000021
KT67NS,E09000021
KT11EF,
KT92HW,E09000021
KT66AW,E09000021
KT26ND,E09000021
KT33QX,E09000021
KT26FE,E09000021
KT91BF,E09000021
KT58PG,E09000021
KT12HG,E09000021
KT67PP,E09000021
KT64AW,E09000021
KT190BT,E07000208
KT89DL,E07000207
KT65LR,E09000021
KT27AF,E09000021
KT59NB,E09000021
KT26QJ,E09000021
KT58LS,E09000021
KT67HL,E09000021
KT64AX,E09000021
KT67HT,E09000021
KT65JW,E07000207
KT65PY,E07000207
KT11TS,E09000021
KT33PB,E09000021
KT125RU,E07000207
KT11TE,E09000021
E29QH,E09000030
E20RY,E09000030
E29DX,E09000030
E26AB,E09000030
E14TP,E09000030
E28NA,E09000012
E20EA,E09000030
E20AN,E09000030
E16GY,E09000012
E14LJ,E09000030
E29FP,E09000030
E26EH,E09000030
E27DG,E09000030
BR28AR,E09000006
BR13AJ,E09000006
BR13AX,E09000006
BR29QN,E09000006
BR29JS,E09000006
BR11EG,E09000006
BR11LG,E09000006
BR11QX,E09000006
BR28BS,E09000006
BR51AR,E09000006
BR29EU,E09000006
BR11PQ,E09000006
BR27LD,E09000006
BR11EZ,E09000006
BR12QG,E09000006
BR76JE,E09000006
BR76JP,E09000006
BR11LT,E09000006
BR11PW,E09000006
BR11RL,E09000006
BR13QR,E09000006
BR53QF,E09000006
BR68NL,E09000006
BR14DT,E09000006
TN163QR,E09000006
TN163GJ,E09000006
TN163TL,E09000006
TN163XZ,E09000006
KT207XA,E07000211
TN163TJ,E09000006
TN163LU,E09000006
TN163BN,E09000006
TN163AU,E09000006
KT125PB,E07000207
DA158PT,E09000004
DA159NB,E09000004
DA159LU,E09000004
DA159PT,E09000004
DA158PR,E09000004
DA158JW,E09000004
DA158JP,E09000004
DA159PS,E09000004
DA158DJ,E09000004
DA146EP,E09000004
DA144LJ,E09000004
DA146BT,E09000004
DA158PW,E09000004
DA146ES,E09000004
DA144DJ,E09000004
DA146DW,E09000004
DA159JN,E09000004
DA158PG,E09000004
DA159HG,E09000004
SE16BT,E09000028
EC4M7LH,E09000001
SE14EJ,E09000028
WC2E9DP,E09000033
WC2N4LL,E09000033
EC4M7AS,E09000001
SE50HB,E09000028
WC2H0LA,E09000007
SE39SY,E09000023
SE30BP,E09000023
SE37BT,E09000011
SE39DJ,E09000011
SE137GU,E09000023
SE30BU,E09000023
SE38XA,E09000011
SE135NS,E09000023
SE39RD,E09000011
SE30TJ,E09000023
SE41UY,E09000023
SE135RT,E09000023
SE30TA,E09000023
SE135PH,E09000023
SE135FH,E09000023
SE109TZ,E09000011
SE30BD,E09000023
SE135PL,E09000023
SE135PT,E09000023
SE37DH,E09000011
SE145NS,E09000023
SE137SW,E09000023
SE109TS,E09000011
SE37JQ,E09000011
E140RE,E09000030
E149BA,E09000030
E149TP,E09000030
E12NN,E09000030
E162TQ,E09000025
E145NY,E09000030
E177AD,E09000031
DA51AJ,E09000004
SE92DR,E09000011
DA51BT,E09000004
DA51AA,E09000004
DA163AX,E09000004
SE92PH,E09000011
DA163QH,E09000004
W1T4TQ,E09000007
W1T2JR,E09000007
W1T5LY,E09000007
WC1X8NW,E09000007
W1S1HN,E09000033
WC2B5EL,E09000007
W1T6NN,E09000007
NW12PB,E09000007
WC1N1AP,E09000007
W1U3RN,E09000033
WC1B3NH,E09000007
W1D5PF,E09000033
WC1H9SE,E09000007
NW89HL,E09000033
EN26LU,E09000010
EN27AE,E09000010
EN13UQ,E09000010
EN20JT,E09000010
EN37XJ,E09000010
EN20BX,E09000010
EN14HN,E09000010
EN11BJ,E09000010
EN26EF,E09000010
EN29DG,E09000010
EN34HX,E09000010
EN27AF,E09000010
EN11PJ,E09000010
EN26ER,E09000010
EN37HG,E09000010
EN20PW,E09000010
EN20DW,E09000010
N78QJ,E09000019
SG129HP,E07000242
EN13LH,E09000010
EN26BP,E09000010
N112QH,E09000014
N228NW,E09000014
N225JH,E09000014
N134SB,E09000010
N80PS,E09000014
N103DU,E09000014
N153LA,E09000014
N134SE,E09000010
N134BG,E09000010
N225RS,E09000014
N226JA,E09000014
N226UY,E09000014
N134JD,E09000010
N226DJ,E09000014
N111NH,E09000003
N228NQ,E09000014
N193SZ,E09000019
N80EP,E09000014
N226SA,E09000014
N153ND,E09000014
N228HH,E09000014
N65BA,E09000014
N226YQ,E09000014
EN12PW,E09000010
N135EL,E09000010
N145BH,E09000010
E35EL,E09000030
E35LX,E09000030
E35QR,E09000030
E34JN,E09000030
E32RW,E09000030
E146BU,E09000030
E20SY,E09000030
E35LU,E09000030
E32SJ,E09000030
E95EN,E09000030
SE162UE,E09000028
E201AS,E09000025
E140EG,E09000030
N228NG,E09000014
N156NR,E09000014
N42YD,E09000012
N170TX,E09000014
N102AH,E09000014
TW88AH,E09000018
TW88LB,E09000018
TW50AH,
TW80EW,E09000018
TW80JW,E09000018
W55JY,E09000009
W54RJ,E09000009
W139DJ,E09000009
TW93LU,E09000027
W55AA,E09000009
W54QJ,E09000009
TW33LF,E09000018
W43UH,E09000018
W43AG,E09000018
TW45JX,E09000018
TW93BH,E09000027
TW80BH,E09000018
TW13JZ,E09000027
W54QA,E09000009
TW75XF,E09000018
TW75BG,E09000018
TW31BQ,E09000018
TW91DN,E09000027
TW31PN,E09000018
TW76AA,E09000018
W55LL,E09000009
W54DH,E09000009
TW92EW,E09000027
TW80AH,E09000018
TW149BQ,E09000018
TW92PN,E09000027
W55LS,E09000009
SW148JN,E09000027
TW93QB,E09000027
W73SU,E09000009
TW135LP,E09000018
NW43FP,E09000003
NW43FN,E09000003
NW43FD,E09000003
NW42EA,E09000003
NW97ED,E09000003
NW62QN,E09000007
NW43RD,E09000003
NW119RG,E09000003
NW61NB,E09000007
NW118LN,E09000003
NW108SE,E09000005
NW43UX,E09000003
NW43FY,E09000003
NW102PJ,E09000005
NW43JH,E09000003
NW44DH,E09000003
NW104JH,E09000005
NW100AD,E09000005
NW104JG,E09000005
NW103JD,E09000005
NW67TA,E09000005
NW90AS,E09000005
NW67HY,E09000005
NW103JH,E09000005
E49LQ,E09000031
W113LF,E09000020
EN35EW,E09000010
EN13SW,E09000010
EN11DH,E09000010
EN12QB,E09000010
EN26PD,E09000010
EN37QG,E09000010
EN37UY,E09000010
EN11JX,E09000010
EN37PF,
SW99SL,E09000022
SW25RJ,E09000022
SW25UT,E09000022
SW99SJ,E09000022
SW21HE,E09000022
SE59QH,E09000022
SW90FF,E09000022
SW97JR,E09000022
SW98BN,E09000022
SW99TQ,E09000022
SW97AE,E09000022
SW98LQ,E09000022
SW96AE,E09000022
SW98JR,E09000022
SW97AY,E09000022
SE42BT,E09000023
SE42SF,E09000023
BR11HE,E09000006
BR15AA,E09000006
BR13DU,E09000006
BR12SS,E09000006
BR11NA,E09000006
BR11HG,E09000006
BR27EQ,E09000006
BR11DG,E09000006
BR15HN,E09000023
BR11DN,E09000006
BR69LP,E09000006
BR29RN,E09000006
BR11TS,E09000006
BR29LS,E09000006
SW32DY,E09000020
SW32DZ,
SW73LD,E09000020
SW32AL,E09000020
SW32EJ,E09000020
NW62DG,E09000007
NW66HT,E09000005
NW63BE,E09000007
NW63BT,E09000007
NW67QE,E09000005
W104BA,E09000033
NW103ED,E09000005
NW23NH,E09000007
NW67JR,E09000005
NW21HN,E09000003
NW64HS,E09000007
NW27HJ,E09000005
EN14TX,E09000010
EN14SB,E09000010
EN14SY,E09000010
EN80XN,E07000095
EN35PU,E09000010
EN35HP,E09000010
EN87AN,E07000095
EN14AJ,E09000010
EN87AB,E07000095
EN89ND,E07000095
EN87EA,E07000095
EN87AF,E07000095
EN12TT,
EN91EE,E07000072
EN93DF,E07000072
EN88NZ,E07000095
EN89BD,E07000095
EN64HL,E07000241
EN80EA,E07000095
EN80BP,E07000095
EN34HF,E09000010
EN89AJ,E07000095
EN89DF,E07000095
HA85EH,E09000015
HA80EL,E09000003
HA80EF,E09000003
HA85EN,E09000015
HA80LF,E09000003
HA80AX,E09000003
HA80LR,E09000003
HA85EP,E09000015
HA80LQ,E09000003
HA85EJ,E09000015
HA89BX,E09000003
HA87BG,E09000003
HA85ED,E09000015
NW94AX,E09000003
HA87AB,E09000003
HA86JZ,E09000015
NW96NJ,E09000005
HA73DZ,E09000015
HA88SX,E09000003
NW94AG,E09000003
NW96NB,E09000005
HA80EJ,E09000003
NW95DS,E09000003
HA87JG,E09000003
NW73JR,E09000003
HA71JS,E09000015
HA35HX,E09000015
HA85JY,E09000015
OX39EH,E07000178
RG14QA,E06000038
SE58QZ,E09000028
SE57GE,E09000028
SE50EZ,E09000028
SE59PR,E09000028
SE50EN,E09000028
SE57ND,E09000028
SE58QU,E09000028
SE172AW,E09000028
E29DA,E09000030
E15QH,E09000030
E29DY,E09000030
NW17JL,E09000007
NW17PP,E09000007
NW18AG,E09000007
NW19EU,E09000007
NW11BA,E09000007
NW18NH,E09000007
NW18AH,E09000007
NW19NN,E09000007
E148RR,E09000030
E144AE,E09000030
E149UD,E09000030
E149UG,E09000030
E145AA,E09000030
E148AP,E09000030
E145ER,E09000030
